"/reference_point/position[3]_x","/reference_point/position[3]_y","/reference_point/position[0]_x","/reference_point/position[0]_y","/joint_states/position[3]_x","/joint_states/position[3]_y"
-494260.2097,0,-494260.2097,0,-494260.243,-0.0122895813,
-494260.1763,0,-494260.1763,0,-494260.2097,-0.01765025234,
-494260.143,0,-494260.143,0,-494260.1763,-0.01909361935,
-494260.1097,0,-494260.1097,0,-494260.143,-0.02332025909,
-494260.0763,0,-494260.0763,0,-494260.1097,-0.02527898598,
-494260.043,0,-494260.043,0,-494260.0763,-0.02651602936,
-494260.0097,0,-494260.0097,0,-494260.043,-0.02713470078,
-494259.9764,0,-494259.9764,0,-494260.0097,-0.03146450233,
-494259.943,0,-494259.943,0,-494259.9764,-0.03332006741,
-494259.9097,0,-494259.9097,0,-494259.943,-0.03548496819,
-494259.8763,0,-494259.8763,0,-494259.9097,-0.03692818546,
-494259.843,0,-494259.843,0,-494259.8763,-0.03775288105,
-494259.8097,0,-494259.8097,0,-494259.843,-0.04125798702,
-494259.7764,0,-494259.7764,0,-494259.8097,-0.04404140949,
-494259.743,0,-494259.743,0,-494259.7764,-0.0438352356,
-494259.7097,0,-494259.7097,0,-494259.743,-0.0443507452,
-494259.6764,0,-494259.6764,0,-494259.7097,-0.04053645325,
-494259.643,0,-494259.643,0,-494259.6764,-0.04146416092,
-494259.6097,0,-494259.6097,0,-494259.643,-0.04146416092,
-494259.5764,0,-494259.5764,0,-494259.6097,-0.04197967052,
-494259.543,0,-494259.543,0,-494259.5764,-0.03940242195,
-494259.5097,0,-494259.5097,0,-494259.543,-0.04033027935,
-494259.4764,0,-494259.4764,0,-494259.5097,-0.03909308624,
-494259.443,0,-494259.443,0,-494259.4764,-0.03899007416,
-494259.4097,0,-494259.4097,0,-494259.443,-0.03816537857,
-494259.3764,0,-494259.3764,0,-494259.4097,-0.03723752117,
-494259.343,0,-494259.343,0,-494259.3764,-0.03899007416,
-494259.3097,0,-494259.3097,0,-494259.343,-0.03713435936,
-494259.2764,0,-494259.2764,0,-494259.3097,-0.03806221676,
-494259.243,0,-494259.243,0,-494259.2764,-0.03837155247,
-494259.2097,0,-494259.2097,0,-494259.243,-0.03744369507,
-494259.1763,0,-494259.1763,0,-494259.2097,-0.03837155247,
-494259.143,0,-494259.143,0,-494259.1763,-0.03826839066,
-494259.1097,0,-494259.1097,0,-494259.143,-0.03785604286,
-494259.0764,0,-494259.0764,0,-494259.1097,-0.03847456455,
-494259.043,0,-494259.043,0,-494259.0764,-0.03899007416,
-494259.0097,0,-494259.0097,0,-494259.043,-0.03764986897,
-494258.9763,0,-494258.9763,0,-494259.0097,-0.03991778183,
-494258.943,0,-494258.943,0,-494258.9763,-0.03960859585,
-494258.9097,0,-494258.9097,0,-494258.943,-0.03847456455,
-494258.8764,0,-494258.8764,0,-494258.9097,-0.03868073845,
-494258.843,0,-494258.843,0,-494258.8764,-0.03909308624,
-494258.8097,0,-494258.8097,0,-494258.843,-0.03909308624,
-494258.7763,0,-494258.7763,0,-494258.8097,-0.03878390026,
-494258.743,0,-494258.743,0,-494258.7763,-0.03754670715,
-494258.7097,0,-494258.7097,0,-494258.743,-0.03734053326,
-494258.6764,0,-494258.6764,0,-494258.7097,-0.03713435936,
-494258.643,0,-494258.643,0,-494258.6764,-0.03837155247,
